Ticker
2618
3690
6301
ACHR
ADSK
AIR
AMD
AMZN
ANSS
AVAV
BA
BABA
BWXT
DASH
DDD
DE
DGCXX
DSY
ESLT
FTOXX
GOOG
GRMN
HEI
HO
HON
IRDM
JD
JOBY
KTOS
LHX
LMT
LUNR
MKFG
MVRXX
MYNAY
NFLX
NVDA
PATH
PLTR
PRLB
PRNT
RAVN
RKLB
SNPS
SOLS
SPCE
SPR
SRTA
SSYS
TCEHY
TDY
TER
TRMB
TSLA
TSM
U
VELO
WKHS
XLNX
