Date,Close
2024-01-02,32.72
2024-01-03,31.19
2024-01-04,31.52
2024-01-05,31.61
2024-01-08,32.21
2024-01-09,32.42
2024-01-10,32.23
2024-01-11,30.99
2024-01-12,30.68
2024-01-16,29.85
2024-01-17,28.90
2024-01-18,28.76
2024-01-19,28.83
2024-01-22,29.82
2024-01-23,29.96
2024-01-24,29.21
2024-01-25,29.46
2024-01-26,29.09
2024-01-29,30.62
2024-01-30,29.44
2024-01-31,28.44
2024-02-01,29.05
2024-02-02,29.16
2024-02-05,28.64
2024-02-06,29.73
2024-02-07,29.05
2024-02-08,29.87
2024-02-09,30.42
2024-02-12,31.81
2024-02-13,29.59
2024-02-14,30.90
2024-02-15,31.88
2024-02-16,31.40
2024-02-20,30.59
2024-02-21,30.02
2024-02-22,30.71
2024-02-23,30.21
2024-02-26,31.42
2024-02-27,32.96
2024-02-28,32.28
2024-02-29,31.51
2024-03-01,31.63
2024-03-04,31.04
2024-03-05,30.06
2024-03-06,30.10
2024-03-07,30.42
2024-03-08,30.37
2024-03-11,29.95
2024-03-12,29.46
2024-03-13,29.54
2024-03-14,28.41
2024-03-15,28.44
2024-03-18,28.22
2024-03-19,28.34
2024-03-20,28.86
2024-03-21,28.81
2024-03-22,28.15
2024-03-25,28.18
2024-03-26,27.90
2024-03-27,28.55
2024-03-28,28.76
2024-04-01,28.35
2024-04-02,27.10
2024-04-03,27.10
2024-04-04,26.67
2024-04-05,26.71
2024-04-08,27.09
2024-04-09,27.99
2024-04-10,26.72
2024-04-11,26.83
2024-04-12,25.90
2024-04-15,24.90
2024-04-16,24.11
2024-04-17,23.58
2024-04-18,23.55
2024-04-19,23.32
2024-04-22,23.62
2024-04-23,23.98
2024-04-24,23.67
2024-04-25,23.01
2024-04-26,23.18
2024-04-29,23.88
2024-04-30,23.29
2024-05-01,23.97
2024-05-02,24.19
2024-05-03,25.04
2024-05-06,25.52
2024-05-07,25.22
2024-05-08,24.63
2024-05-09,25.09
2024-05-10,24.90
2024-05-13,26.31
2024-05-14,26.74
2024-05-15,26.88
2024-05-16,26.51
2024-05-17,26.53
2024-05-20,26.48
2024-05-21,26.02
2024-05-22,26.29
2024-05-23,25.66
2024-05-24,25.63
2024-05-28,25.69
2024-05-29,24.73
2024-05-30,24.87
2024-05-31,24.50
2024-06-03,25.09
2024-06-04,25.25
2024-06-05,26.47
2024-06-06,26.45
2024-06-07,25.27
2024-06-10,25.42
2024-06-11,25.49
2024-06-12,26.15
2024-06-13,25.78
2024-06-14,25.05
2024-06-17,24.56
2024-06-18,24.51
2024-06-20,24.30
2024-06-21,24.37
2024-06-24,24.60
2024-06-25,24.24
2024-06-26,23.75
2024-06-27,23.73
2024-06-28,23.48
2024-07-01,23.23
2024-07-02,22.89
2024-07-03,23.16
2024-07-05,23.24
2024-07-08,23.56
2024-07-09,23.57
2024-07-10,23.46
2024-07-11,24.83
2024-07-12,25.34
2024-07-15,25.44
2024-07-16,27.41
2024-07-17,26.76
2024-07-18,25.55
2024-07-19,25.38
2024-07-22,26.24
2024-07-23,26.79
2024-07-24,25.95
2024-07-25,26.69
2024-07-26,27.23
2024-07-29,26.90
2024-07-30,26.73
2024-07-31,26.95
2024-08-01,26.04
2024-08-02,24.62
2024-08-05,23.91
2024-08-06,24.28
2024-08-07,23.68
2024-08-08,24.57
2024-08-09,24.28
2024-08-12,24.17
2024-08-13,25.13
2024-08-14,24.49
2024-08-15,25.81
2024-08-16,26.00
2024-08-19,26.74
2024-08-20,26.26
2024-08-21,27.05
2024-08-22,26.05
2024-08-23,26.97
2024-08-26,26.98
2024-08-27,26.76
2024-08-28,26.32
2024-08-29,26.58
2024-08-30,26.39
2024-09-03,25.12
2024-09-04,24.87
2024-09-05,24.97
2024-09-06,24.24
2024-09-09,24.46
2024-09-10,24.90
2024-09-11,25.33
2024-09-12,25.32
2024-09-13,26.12
2024-09-16,26.05
2024-09-17,26.29
2024-09-18,26.23
2024-09-19,26.77
2024-09-20,26.25
2024-09-23,25.35
2024-09-24,25.36
2024-09-25,24.84
2024-09-26,25.58
2024-09-27,25.63
2024-09-30,25.60
2024-10-01,24.85
2024-10-02,24.84
2024-10-03,24.41
2024-10-04,24.86
2024-10-07,24.67
2024-10-08,24.69
2024-10-09,24.18
2024-10-10,23.87
2024-10-11,24.79
2024-10-14,25.20
2024-10-15,24.78
2024-10-16,25.02
2024-10-17,24.33
2024-10-18,24.78
2024-10-21,24.36
2024-10-22,24.07
2024-10-23,23.55
2024-10-24,23.29
2024-10-25,23.30
2024-10-28,24.06
2024-10-29,23.94
2024-10-30,24.00
2024-10-31,23.14
2024-11-01,24.00
2024-11-04,24.27
2024-11-05,24.78
2024-11-06,25.49
2024-11-07,25.39
2024-11-08,25.90
2024-11-11,27.11
2024-11-12,26.00
2024-11-13,25.65
2024-11-14,24.13
2024-11-15,22.66
2024-11-18,22.68
2024-11-19,23.26
2024-11-20,23.36
2024-11-21,23.22
2024-11-22,23.83
2024-11-25,25.06
2024-11-26,24.84
2024-11-27,25.43
2024-11-29,25.98
2024-12-02,26.69
2024-12-03,25.70
2024-12-04,26.13
2024-12-05,25.20
2024-12-06,26.43
2024-12-09,26.41
2024-12-10,26.52
2024-12-11,26.13
2024-12-12,25.15
2024-12-13,24.71
2024-12-16,25.23
2024-12-17,24.70
2024-12-18,22.90
2024-12-19,22.95
2024-12-20,23.68
2024-12-23,23.97
2024-12-24,24.18
