Date,Close
2021-01-04,76.04
2021-01-05,77.88
2021-01-06,78.27
2021-01-07,83.23
2021-01-08,84.92
2021-01-11,83.36
2021-01-12,84.77
2021-01-13,85.10
2021-01-14,87.23
2021-01-15,84.82
2021-01-19,87.87
2021-01-20,88.66
2021-01-21,89.09
2021-01-22,89.63
2021-01-25,91.38
2021-01-26,91.20
2021-01-27,88.77
2021-01-28,88.59
2021-01-29,86.34
2021-02-01,90.17
2021-02-02,92.11
2021-02-03,92.93
2021-02-04,93.61
2021-02-05,94.51
2021-02-08,97.01
2021-02-09,97.91
2021-02-10,96.59
2021-02-11,97.64
2021-02-12,98.17
2021-02-16,97.65
2021-02-17,96.22
2021-02-18,93.71
2021-02-19,95.85
2021-02-22,92.38
2021-02-23,88.86
2021-02-24,90.05
2021-02-25,86.18
2021-02-26,85.12
2021-03-01,88.52
2021-03-02,86.04
2021-03-03,83.02
2021-03-04,79.44
2021-03-05,79.57
2021-03-08,76.48
2021-03-09,81.86
2021-03-10,81.73
2021-03-11,85.82
2021-03-12,85.15
2021-03-15,86.71
2021-03-16,84.86
2021-03-17,86.45
2021-03-18,83.34
2021-03-19,83.80
2021-03-22,84.30
2021-03-23,81.92
2021-03-24,78.90
2021-03-25,79.60
2021-03-26,80.34
2021-03-29,79.68
2021-03-30,81.45
2021-03-31,83.07
2021-04-01,84.16
2021-04-05,85.34
2021-04-06,85.56
2021-04-07,83.81
2021-04-08,84.97
2021-04-09,84.44
2021-04-12,83.87
2021-04-13,84.99
2021-04-14,84.44
2021-04-15,84.16
2021-04-16,83.96
2021-04-19,82.30
2021-04-20,80.90
2021-04-21,83.08
2021-04-22,82.60
2021-04-23,83.88
2021-04-26,85.07
2021-04-27,84.43
2021-04-28,84.19
2021-04-29,83.42
2021-04-30,82.76
2021-05-03,81.34
2021-05-04,80.02
2021-05-05,79.36
2021-05-06,79.11
2021-05-07,79.87
2021-05-10,76.69
2021-05-11,77.17
2021-05-12,74.33
2021-05-13,73.69
2021-05-14,76.25
2021-05-17,75.92
2021-05-18,76.46
2021-05-19,75.96
2021-05-20,77.54
2021-05-21,77.51
2021-05-24,78.63
2021-05-25,78.89
2021-05-26,80.14
2021-05-27,80.69
2021-05-28,80.55
2021-06-01,81.17
2021-06-02,81.26
2021-06-03,79.81
2021-06-04,80.93
2021-06-07,81.11
2021-06-08,81.15
2021-06-09,80.53
2021-06-10,80.58
2021-06-11,80.75
2021-06-14,81.15
2021-06-15,80.19
2021-06-16,79.57
2021-06-17,80.73
2021-06-18,79.86
2021-06-21,80.97
2021-06-22,81.92
2021-06-23,83.22
2021-06-24,84.42
2021-06-25,84.94
2021-06-28,85.72
2021-06-29,86.28
2021-06-30,85.31
2021-07-01,84.59
2021-07-02,83.84
2021-07-06,82.92
2021-07-07,81.92
2021-07-08,81.14
2021-07-09,82.55
2021-07-12,82.45
2021-07-13,81.62
2021-07-14,80.14
2021-07-15,79.36
2021-07-16,78.38
2021-07-19,77.82
2021-07-20,79.56
2021-07-21,80.94
2021-07-22,80.33
2021-07-23,80.00
2021-07-26,79.01
2021-07-27,77.57
2021-07-28,79.60
2021-07-29,80.60
2021-07-30,80.33
2021-08-02,80.57
2021-08-03,80.33
2021-08-04,80.00
2021-08-05,81.06
2021-08-06,80.30
2021-08-09,80.94
2021-08-10,81.05
2021-08-11,81.66
2021-08-12,81.72
2021-08-13,80.01
2021-08-16,78.70
2021-08-17,77.70
2021-08-18,77.77
2021-08-19,76.92
2021-08-20,77.66
2021-08-23,79.69
2021-08-24,81.51
2021-08-25,81.73
2021-08-26,81.31
2021-08-27,82.71
2021-08-30,83.56
2021-08-31,83.35
2021-09-01,83.91
2021-09-02,84.60
2021-09-03,84.68
2021-09-07,84.95
2021-09-08,83.22
2021-09-09,83.38
2021-09-10,82.38
2021-09-13,82.13
2021-09-14,81.21
2021-09-15,81.63
2021-09-16,81.65
2021-09-17,81.81
2021-09-20,78.89
2021-09-21,79.21
2021-09-22,80.09
2021-09-23,81.17
2021-09-24,80.82
2021-09-27,81.21
2021-09-28,78.91
2021-09-29,77.79
2021-09-30,77.24
2021-10-01,77.25
2021-10-04,75.61
2021-10-05,76.56
2021-10-06,76.61
2021-10-07,78.25
2021-10-08,77.96
