Date,Close
2021-01-04,299.79
2021-01-05,302.26
2021-01-06,298.07
2021-01-07,305.28
2021-01-08,309.21
2021-01-11,304.74
2021-01-12,304.25
2021-01-13,306.31
2021-01-14,304.67
2021-01-15,302.26
2021-01-19,306.67
2021-01-20,313.80
2021-01-21,316.31
2021-01-22,315.40
2021-01-25,318.01
2021-01-26,318.47
2021-01-27,309.59
2021-01-28,311.43
2021-01-29,304.87
2021-02-01,312.49
2021-02-02,317.59
2021-02-03,316.33
2021-02-04,320.07
2021-02-05,321.16
2021-02-08,323.31
2021-02-09,323.24
2021-02-10,322.50
2021-02-11,324.28
2021-02-12,326.09
2021-02-16,325.21
2021-02-17,323.65
2021-02-18,322.23
2021-02-19,320.83
2021-02-22,312.51
2021-02-23,311.58
2021-02-24,314.15
2021-02-25,303.20
2021-02-26,304.47
2021-03-01,313.63
2021-03-02,308.60
2021-03-03,299.64
2021-03-04,294.74
2021-03-05,299.17
2021-03-08,290.70
2021-03-09,302.17
2021-03-10,301.31
2021-03-11,308.25
2021-03-12,305.75
2021-03-15,309.01
2021-03-16,310.71
2021-03-17,311.99
2021-03-18,302.43
2021-03-19,303.50
2021-03-22,309.19
2021-03-23,307.84
2021-03-24,302.65
2021-03-25,302.12
2021-03-26,306.66
2021-03-29,306.57
2021-03-30,305.03
2021-03-31,309.69
2021-04-01,314.97
2021-04-05,321.26
2021-04-06,321.04
2021-04-07,321.81
2021-04-08,325.17
2021-04-09,327.14
2021-04-12,326.71
2021-04-13,330.53
2021-04-14,326.56
2021-04-15,331.51
2021-04-16,331.90
2021-04-19,328.86
2021-04-20,326.46
2021-04-21,329.26
2021-04-22,325.29
2021-04-23,329.38
2021-04-26,331.53
2021-04-27,330.09
2021-04-28,328.98
2021-04-29,330.16
2021-04-30,328.00
2021-05-03,326.25
2021-05-04,320.38
2021-05-05,319.30
2021-05-06,321.71
2021-05-07,324.32
2021-05-10,316.13
2021-05-11,315.69
2021-05-12,307.52
2021-05-13,309.90
2021-05-14,316.74
2021-05-17,314.82
2021-05-18,312.69
2021-05-19,313.05
2021-05-20,319.11
2021-05-21,317.34
2021-05-24,322.68
2021-05-25,323.12
2021-05-26,324.25
2021-05-27,323.04
2021-05-28,324.06
2021-06-01,322.98
2021-06-02,323.61
2021-06-03,320.24
2021-06-04,325.68
2021-06-07,326.65
2021-06-08,326.80
2021-06-09,326.88
2021-06-10,330.29
2021-06-11,331.15
2021-06-14,334.32
2021-06-15,332.14
2021-06-16,330.93
2021-06-17,335.13
2021-06-18,332.50
2021-06-21,334.57
2021-06-22,337.68
2021-06-23,337.85
2021-06-24,339.94
2021-06-25,339.52
2021-06-28,343.65
2021-06-29,344.89
2021-06-30,344.35
2021-07-01,344.48
2021-07-02,348.44
2021-07-06,349.94
2021-07-07,350.68
2021-07-08,348.56
2021-07-09,350.74
2021-07-12,352.11
2021-07-13,352.11
2021-07-14,352.74
2021-07-15,350.27
2021-07-16,347.43
2021-07-19,344.58
2021-07-20,348.58
2021-07-21,351.28
2021-07-22,353.60
2021-07-23,357.73
2021-07-26,358.01
2021-07-27,354.06
2021-07-28,355.42
2021-07-29,356.06
2021-07-30,354.20
2021-08-02,354.23
2021-08-03,356.38
2021-08-04,356.89
2021-08-05,359.16
2021-08-06,357.58
2021-08-09,358.24
2021-08-10,356.41
2021-08-11,355.79
2021-08-12,357.08
2021-08-13,358.33
2021-08-16,358.48
2021-08-17,355.33
2021-08-18,351.91
2021-08-19,353.61
2021-08-20,357.27
2021-08-23,362.61
2021-08-24,363.72
2021-08-25,364.14
2021-08-26,361.83
2021-08-27,365.34
2021-08-30,369.44
2021-08-31,369.14
2021-09-01,369.75
2021-09-02,369.58
2021-09-03,370.72
2021-09-07,371.24
2021-09-08,369.95
2021-09-09,368.68
2021-09-10,365.88
2021-09-13,365.63
2021-09-14,364.59
2021-09-15,367.30
2021-09-16,367.55
2021-09-17,363.20
2021-09-20,355.69
2021-09-21,356.13
2021-09-22,359.46
2021-09-23,362.77
2021-09-24,363.11
2021-09-27,360.21
2021-09-28,350.02
2021-09-29,349.45
2021-09-30,348.16
2021-10-01,350.32
2021-10-04,342.97
2021-10-05,347.60
2021-10-06,349.83
2021-10-07,353.04
2021-10-08,351.28
2021-10-11,348.58
2021-10-12,347.37
2021-10-13,350.15
2021-10-14,356.60
2021-10-15,358.84
2021-10-18,362.45
2021-10-19,365.19
2021-10-20,364.72
2021-10-21,366.95
2021-10-22,363.86
2021-10-25,367.59
2021-10-26,368.74
2021-10-27,369.60
2021-10-28,373.71
2021-10-29,375.54
2021-11-01,376.83
2021-11-02,378.40
2021-11-03,382.42
2021-11-04,387.32
2021-11-05,387.69
2021-11-08,387.17
2021-11-09,384.50
2021-11-10,378.85
2021-11-11,379.90
2021-11-12,383.90
2021-11-15,383.81
2021-11-16,386.54
2021-11-17,386.75
2021-11-18,390.76
2021-11-19,392.93
2021-11-22,388.37
2021-11-23,386.60
2021-11-24,387.85
2021-11-26,380.49
2021-11-29,388.75
2021-11-30,383.04
2021-12-01,376.53
2021-12-02,379.24
2021-12-03,372.64
2021-12-06,375.63
2021-12-07,386.94
2021-12-08,388.67
2021-12-09,382.95
2021-12-10,387.12
2021-12-13,381.53
2021-12-14,377.58
2021-12-15,386.18
2021-12-16,376.25
2021-12-17,374.38
2021-12-20,370.74
2021-12-21,379.04
2021-12-22,383.66
2021-12-23,386.55
2021-12-27,392.94
2021-12-28,391.12
2021-12-29,391.06
2021-12-30,389.89
2021-12-31,387.46
2022-01-03,391.19
2022-01-04,386.11
2022-01-05,374.25
2022-01-06,373.99
2022-01-07,369.94
2022-01-10,370.18
2022-01-11,375.74
2022-01-12,377.23
2022-01-13,367.79
2022-01-14,370.08
2022-01-18,360.87
2022-01-19,356.91
2022-01-20,352.27
2022-01-21,342.50
2022-01-24,344.07
2022-01-25,336.09
2022-01-26,335.57
2022-01-27,332.19
2022-01-28,342.61
2022-01-31,353.57
2022-02-01,355.97
2022-02-02,358.86
2022-02-03,344.31
2022-02-04,348.66
2022-02-07,345.85
2022-02-08,349.74
2022-02-09,357.15
2022-02-10,349.07
2022-02-11,337.99
2022-02-14,338.41
2022-02-15,346.83
2022-02-16,346.74
2022-02-17,336.43
2022-02-18,332.59
2022-02-22,329.25
2022-02-23,320.81
2022-02-24,331.59
2022-02-25,336.74
2022-02-28,337.74
2022-03-01,332.57
2022-03-02,338.15
2022-03-03,333.32
2022-03-04,328.49
2022-03-07,316.37
2022-03-08,314.90
2022-03-09,326.24
2022-03-10,322.62
2022-03-11,315.93
2022-03-14,309.86
2022-03-15,319.58
2022-03-16,331.43
2022-03-17,335.44
2022-03-18,342.31
2022-03-21,341.36
2022-03-22,348.06
2022-03-23,343.06
2022-03-24,350.69
2022-03-25,350.39
2022-03-28,355.82
2022-03-29,361.94
2022-03-30,357.94
2022-03-31,353.51
2022-04-01,352.83
2022-04-04,360.10
2022-04-05,352.10
2022-04-06,344.46
2022-04-07,345.28
2022-04-08,340.45
2022-04-11,332.39
2022-04-12,330.99
2022-04-13,337.72
2022-04-14,330.00
2022-04-18,330.25
2022-04-19,337.63
2022-04-20,332.71
2022-04-21,325.82
2022-04-22,317.29
2022-04-25,321.37
2022-04-26,309.24
2022-04-27,308.87
2022-04-28,319.84
2022-04-29,305.44
2022-05-02,310.54
2022-05-03,310.87
2022-05-04,321.39
2022-05-05,305.20
2022-05-06,301.54
2022-05-09,289.74
2022-05-10,293.26
2022-05-11,284.57
2022-05-12,283.89
2022-05-13,294.42
2022-05-16,291.00
2022-05-17,298.54
2022-05-18,283.88
2022-05-19,282.36
2022-05-20,281.49
2022-05-23,286.17
2022-05-24,280.08
2022-05-25,284.00
2022-05-26,291.87
2022-05-27,301.40
2022-05-31,300.60
2022-06-01,298.37
2022-06-02,306.55
2022-06-03,298.57
2022-06-06,299.56
2022-06-07,302.15
2022-06-08,299.97
2022-06-09,291.94
2022-06-10,281.64
2022-06-13,268.55
2022-06-14,269.03
2022-06-15,275.75
2022-06-16,264.63
2022-06-17,267.84
2022-06-21,274.60
2022-06-22,274.20
2022-06-23,278.29
2022-06-24,287.82
2022-06-27,285.71
2022-06-28,277.01
2022-06-29,277.26
2022-06-30,273.82
2022-07-01,275.63
2022-07-05,280.35
2022-07-06,282.14
2022-07-07,288.18
2022-07-08,288.54
2022-07-11,282.38
2022-07-12,279.64
2022-07-13,279.07
2022-07-14,280.06
2022-07-15,285.14
2022-07-18,282.73
2022-07-19,291.43
2022-07-20,296.05
2022-07-21,300.30
2022-07-22,295.03
2022-07-25,293.35
2022-07-26,287.59
2022-07-27,299.74
2022-07-28,302.67
2022-07-29,308.19
2022-08-01,308.00
2022-08-02,307.09
2022-08-03,315.45
2022-08-04,316.92
2022-08-05,314.33
2022-08-08,313.32
2022-08-09,309.77
2022-08-10,318.42
2022-08-11,316.61
2022-08-12,322.78
2022-08-15,325.38
2022-08-16,324.62
2022-08-17,320.92
2022-08-18,321.69
2022-08-19,315.42
2022-08-22,307.12
2022-08-23,306.86
2022-08-24,307.75
2022-08-25,313.19
2022-08-26,300.35
2022-08-29,297.39
2022-08-30,294.08
2022-08-31,292.37
2022-09-01,292.50
2022-09-02,288.37
2022-09-06,286.30
2022-09-07,292.08
2022-09-08,293.59
2022-09-09,300.01
2022-09-12,303.58
2022-09-13,286.93
2022-09-14,289.21
2022-09-15,284.39
2022-09-16,282.65
2022-09-19,284.85
2022-09-20,282.58
2022-09-21,277.52
2022-09-22,274.11
2022-09-23,269.64
2022-09-26,268.53
2022-09-27,268.64
2022-09-28,273.98
2022-09-29,266.08
2022-09-30,261.57
2022-10-03,267.71
2022-10-04,276.12
2022-10-05,275.98
2022-10-06,273.80
2022-10-07,263.37
2022-10-10,260.74
2022-10-11,257.16
2022-10-12,257.07
2022-10-13,263.10
2022-10-14,255.19
2022-10-17,263.62
2022-10-18,265.70
2022-10-19,264.73
2022-10-20,263.38
2022-10-21,269.56
2022-10-24,272.52
2022-10-25,278.16
2022-10-26,272.01
2022-10-27,267.06
2022-10-28,275.23
2022-10-31,272.03
2022-11-01,269.25
2022-11-02,260.02
2022-11-03,254.94
2022-11-04,259.04
2022-11-07,261.89
