ETF,rank,peak_date,trough_date,peak_price,trough_price,depth_pct
ARKW,1,2025-02-14,2025-04-08,125.64,82.77,-34.12
ARKW,2,2025-10-08,2025-11-20,182.2,140.9,-22.67
ARKW,3,2024-07-16,2024-08-05,84.59,68.06,-19.54
ARKW,4,2024-03-25,2024-04-19,83.69,72.82,-12.99
ARKW,5,2024-12-16,2024-12-31,120.04,107.98,-10.05
ARKW,6,2024-08-23,2024-09-06,81.72,74.0,-9.45
ARKW,7,2024-02-15,2024-02-21,78.66,72.53,-7.79
ARKW,8,2024-01-08,2024-01-18,73.71,68.77,-6.7
ARKW,9,2025-01-06,2025-01-13,115.72,108.21,-6.49
ARKW,10,2025-07-18,2025-08-01,160.03,150.17,-6.16
ARKW,Current,2025-10-08,2025-11-20,182.2,140.9,-22.67
