ETF,rank,peak_date,trough_date,peak_price,trough_price,depth_pct
ARKQ,1,2025-01-23,2025-04-08,84.93,58.8,-30.77
ARKQ,2,2024-07-16,2024-08-07,60.82,50.42,-17.1
ARKQ,3,2025-10-29,2025-11-07,124.69,113.25,-9.17
ARKQ,4,2024-04-01,2024-04-19,54.52,49.86,-8.55
ARKQ,5,2024-08-23,2024-09-06,56.79,52.71,-7.18
ARKQ,6,2025-01-06,2025-01-13,82.75,76.84,-7.14
ARKQ,7,2024-12-26,2025-01-02,82.2,76.52,-6.91
ARKQ,8,2025-10-08,2025-10-22,122.98,114.76,-6.68
ARKQ,9,2025-04-09,2025-04-21,67.06,62.58,-6.68
ARKQ,10,2025-08-13,2025-08-20,102.06,95.28,-6.64
ARKQ,Current,2025-10-29,2025-11-07,124.69,113.25,-9.17
