ETF,rank,peak_date,trough_date,peak_price,trough_price,depth_pct
ARKF,1,2025-02-14,2025-04-08,44.43,29.19,-34.3
ARKF,2,2025-10-08,2025-11-20,58.82,45.19,-23.17
ARKF,3,2024-03-25,2024-08-05,30.51,24.38,-20.09
ARKF,4,2024-12-06,2025-01-13,41.59,36.7,-11.76
ARKF,5,2024-08-23,2024-09-06,28.8,26.33,-8.58
ARKF,6,2025-07-18,2025-08-01,54.73,50.96,-6.89
ARKF,7,2024-02-15,2024-02-21,28.29,26.46,-6.47
ARKF,8,2025-08-13,2025-08-21,55.62,52.36,-5.86
ARKF,9,2024-01-08,2024-01-18,26.48,25.08,-5.29
ARKF,10,2025-09-19,2025-09-25,57.77,55.05,-4.71
ARKF,Current,2025-10-08,2025-11-20,58.82,45.19,-23.17
