ticker,max_drawdown,num_drawdowns,gics_industry_group
AGL,-96.03,3,Health Care Equipment & Services
AGM,-28.27,9,Financial Services
AGNC,-23.83,2,Financial Services
AGO,-22.4,7,Insurance
AGR,-12.29,2,Utilities
AGS,-16.75,3,Consumer Services
AGTI,-17.14,2,Health Care Equipment & Services
AGX,-43.86,13,Capital Goods
AGYS,-53.61,7,Software & Services
AHCO,-36.81,9,Health Care Equipment & Services
AHH,-51.91,1,Equity Real Estate Investment Trusts (REITs)
AI,-76.36,8,Software & Services
AIG,-18.05,5,Insurance
AIN,-57.45,1,Capital Goods
AIR,-35.72,6,Capital Goods
AIRC,-15.98,2,Equity Real Estate Investment Trusts (REITs)
AIT,-26.55,5,Capital Goods
AIV,-20.61,7,Equity Real Estate Investment Trusts (REITs)
AIZ,-21.41,4,Insurance
AJG,-31.8,2,Insurance
AKAM,-46.84,8,Software & Services
AKR,-32.94,7,Equity Real Estate Investment Trusts (REITs)
AKRO,-41.28,9,"Pharmaceuticals, Biotechnology & Life Sciences"
AKTSQ,-84.8,2,Technology Hardware & Equipment
AL,-22.43,4,Capital Goods
ALB,-65.44,8,Materials
ALDX,-79.66,14,"Pharmaceuticals, Biotechnology & Life Sciences"
ALE,-10.73,2,Utilities
ALEC,-88.81,9,"Pharmaceuticals, Biotechnology & Life Sciences"
ALEX,-23.8,4,Equity Real Estate Investment Trusts (REITs)
ALG,-32.11,6,Capital Goods
ALGM,-50.14,10,Semiconductors & Semiconductor Equipment
ALGN,-62.19,2,Health Care Equipment & Services
ALGT,-61.16,11,Transportation
ALHC,-50.33,11,Health Care Equipment & Services
ALIT,-85.56,3,Commercial & Professional Services
ALK,-50.63,5,Transportation
ALKS,-29.33,8,"Pharmaceuticals, Biotechnology & Life Sciences"
ALKT,-60.11,5,Software & Services
ALL,-14.11,8,Insurance
ALLE,-22.72,7,Capital Goods
ALLK,-69.04,1,"Pharmaceuticals, Biotechnology & Life Sciences"
ALLO,-83.08,9,"Pharmaceuticals, Biotechnology & Life Sciences"
ALLY,-33.15,10,Financial Services
ALNT,-53.04,4,Capital Goods
ALNY,-32.57,5,"Pharmaceuticals, Biotechnology & Life Sciences"
ALPN,-16.08,2,"Pharmaceuticals, Biotechnology & Life Sciences"
ALRM,-39.75,1,Software & Services
ALRS,-34.24,7,Financial Services
ALSN,-34.13,4,Capital Goods
ALT,-75.52,4,"Pharmaceuticals, Biotechnology & Life Sciences"
ALTG,-69.98,7,Capital Goods
ALTR,-18.64,6,Software & Services
ALX,-24.66,6,Equity Real Estate Investment Trusts (REITs)
ALXO,-97.69,6,"Pharmaceuticals, Biotechnology & Life Sciences"
AM,-13.98,8,Energy
AMAL,-33.75,5,Banks
AMAT,-50.21,5,Semiconductors & Semiconductor Equipment
AMBA,-51.41,11,Semiconductors & Semiconductor Equipment
AMBP,-40.8,7,Materials
AMC,-80.0,3,Media & Entertainment
AMCR,-31.64,3,Materials
AMCX,-71.27,6,Media & Entertainment
AMD,-63.0,4,Semiconductors & Semiconductor Equipment
AME,-23.29,4,Capital Goods
AMED,-14.9,5,Health Care Equipment & Services
AMG,-26.98,4,Financial Services
AMGN,-23.35,9,"Pharmaceuticals, Biotechnology & Life Sciences"
AMH,-26.65,6,Equity Real Estate Investment Trusts (REITs)
AMK,-8.82,2,Financial Services
AMKR,-66.19,10,Semiconductors & Semiconductor Equipment
AMLX,-91.72,4,"Pharmaceuticals, Biotechnology & Life Sciences"
AMN,-80.92,2,Health Care Equipment & Services
AMNB,-10.97,1,Banks
AMP,-26.59,5,Financial Services
AMPH,-67.5,5,"Pharmaceuticals, Biotechnology & Life Sciences"
AMPL,-49.38,3,Software & Services
AMPS,-62.17,6,Utilities
AMPY,-71.11,6,Energy
AMR,-77.51,7,Materials
AMRC,-77.67,10,Capital Goods
AMRK,-57.95,6,Consumer Discretionary Distribution & Retail
AMRX,-24.65,10,"Pharmaceuticals, Biotechnology & Life Sciences"
AMSF,-35.76,5,Insurance
AMT,-30.61,6,Equity Real Estate Investment Trusts (REITs)
AMTB,-37.95,6,Banks
AMWD,-53.74,4,Capital Goods
AMWL,-77.6,1,Health Care Equipment & Services
AMZN,-30.88,5,Consumer Discretionary Distribution & Retail
AN,-20.21,11,Consumer Discretionary Distribution & Retail
ANAB,-69.32,12,"Pharmaceuticals, Biotechnology & Life Sciences"
ANDE,-47.84,5,Consumer Staples Distribution & Retail
ANET,-50.42,13,Technology Hardware & Equipment
ANF,-65.89,4,Consumer Discretionary Distribution & Retail
ANGO,-35.32,11,Health Care Equipment & Services
ANIK,-71.83,4,"Pharmaceuticals, Biotechnology & Life Sciences"
ANIP,-23.45,4,"Pharmaceuticals, Biotechnology & Life Sciences"
ANSS,-21.38,4,Software & Services
AON,-20.34,7,Insurance
AORT,-30.0,8,Health Care Equipment & Services
AOS,-35.17,5,Capital Goods
AOSL,-66.94,9,Semiconductors & Semiconductor Equipment
APA,-61.82,7,Energy
APAM,-30.37,5,Financial Services
APD,-31.74,5,Materials
APG,-21.23,4,Capital Goods
APGE,-58.75,5,"Pharmaceuticals, Biotechnology & Life Sciences"
APH,-24.77,10,Technology Hardware & Equipment
APLD,-71.95,19,Software & Services
APLE,-37.02,4,Equity Real Estate Investment Trusts (REITs)
APLS,-77.43,6,"Pharmaceuticals, Biotechnology & Life Sciences"
APO,-39.15,9,Financial Services
APOG,-63.19,7,Capital Goods
APP,-57.0,13,Software & Services
APPF,-44.79,6,Software & Services
APPN,-45.46,11,Software & Services
APPS,-82.56,14,Software & Services
APTV,-46.86,7,Automobiles & Components
AR,-31.77,10,Energy
